set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
Kathmandu18	E_11-12	k141_1122325	k141_1122325_2 # 1327 # 3804 # -1 # ID=11248_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.377	vanT gene in vanG cluster	3002972	Strict	34.68	115.87	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_28383	k141_28383_5 # 5888 # 8362 # -1 # ID=12670_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.486	vanT gene in vanG cluster	3002972	Strict	35.33	115.73	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_1126209	k141_1126209_14 # 13882 # 16347 # 1 # ID=12792_14;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.433	vanT gene in vanG cluster	3002972	Strict	36.93	115.31	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_30546	k141_30546_2 # 536 # 1360 # 1 # ID=13599_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.407	gadX	3000508	Strict	99.27	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_30546	k141_30546_5 # 2819 # 5932 # -1 # ID=13599_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.531	mdtF	3000796	Strict	99.81	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_30546	k141_30546_6 # 5957 # 7114 # -1 # ID=13599_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546	mdtE	3000795	Perfect	100.0	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_1128951	k141_1128951_1 # 240 # 437 # -1 # ID=14031_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.525	rsmA	3005069	Strict	87.93	106.56	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_33883	k141_33883_2 # 440 # 1270 # 1 # ID=15043_2;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=6bp;gc_cont=0.345	OXA-1	3001396	Perfect	100.0	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; amoxicillin; piperacillin; ampicillin; cefalotin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_34605	k141_34605_1 # 470 # 1384 # 1 # ID=15322_1;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.504	tet(W/N/W)	3004442	Strict	88.85	47.73	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; minocycline; chlortetracycline	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_34622	k141_34622_1 # 274 # 603 # -1 # ID=15327_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.412	qacG	3007015	Strict	42.45	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_36138	k141_36138_1 # 2 # 1315 # -1 # ID=15905_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.265	vanW gene in vanB cluster	3002964	Strict	40.32	159.27	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_36811	k141_36811_4 # 2523 # 3602 # 1 # ID=16133_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.415	vanG	3002909	Strict	43.48	102.87	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	vancomycin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_1137575	k141_1137575_1 # 2 # 895 # 1 # ID=17375_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.592	vanH gene in vanO cluster	3002948	Strict	44.21	84.86	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_1139593	k141_1139593_1 # 97 # 1035 # -1 # ID=18149_1;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.478	vanY gene in vanB cluster	3002956	Strict	34.19	116.42	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_1142347	k141_1142347_3 # 685 # 1644 # 1 # ID=19365_3;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=6bp;gc_cont=0.362	CfxA6	3003097	Strict	98.75	96.37	cephamycin	antibiotic inactivation	CfxA beta-lactamase		False	chromosome_like	1		
Kathmandu18	E_11-12	k141_1142446	k141_1142446_6 # 8513 # 9334 # -1 # ID=19405_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.526	bacA	3002986	Strict	99.63	100.0	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	bacitracin; bacitracin A; bacitracin B; bacitracin F	False	chromosome_like	1		
Kathmandu18	E_11-12	k141_44637	k141_44637_100 # 90020 # 90805 # 1 # ID=19513_100;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.275	vanY gene in vanM cluster	3002961	Strict	29.12	112.02	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
