sample_id	aro_gene	hit_rows
E_1-2	MUS-1	25
E_1-2	rsmA	2329
E_1-2	TEM-91	17
E_1-2	MUS-2	20
E_1-2	SHV-137	33
E_1-2	TEM-92	82
E_1-2	TEM-11	1
E_1-2	vanY_in_vanG_cl	107
E_1-2	TEM-93	76
E_1-2	TEM-52	82
E_1-2	qacA	376
E_1-2	macA	510
E_1-2	TEM-94	64
E_1-2	TEM-95	42
E_1-2	MAB	25
E_1-2	qacB	377
E_1-2	macB	28394
E_1-2	rphA	5244
E_1-2	PmpM	1643
E_1-2	APH(4)-Ia	67
E_1-2	rphB	6571
E_1-2	PDC-81	67
E_1-2	TEM-57	32
E_1-2	qacE	1531
E_1-2	TEM-16	10
E_1-2	PDC-82	71
E_1-2	PDC-41	81
E_1-2	TEM-59	21
E_1-2	PDC-83	57
E_1-2	PDC-42	38
E_1-2	qacG	557
E_1-2	PDC-84	7
E_1-2	qacH	159
E_1-2	blt	112
E_1-2	AAC6_IB_HZ	218
E_1-2	PDC-85	53
E_1-2	ADC-332	10
E_1-2	PDC-86	1
E_1-2	PDC-45	5
E_1-2	ADC-333	1
E_1-2	PAD-1	152
E_1-2	qacJ	436
E_1-2	QnrB1	5
E_1-2	ADC-334	21
E_1-2	PDC-87	9
E_1-2	vanR_in_vanA_cl	13517
E_1-2	QnrB2	6
E_1-2	MYX-1	28
E_1-2	ADC-335	15
E_1-2	PDC-88	40
E_1-2	qacL	1394
E_1-2	QnrB3	1
E_1-2	PDC-48	2
E_1-2	ADC-336	2
E_1-2	PDC-89	76
E_1-2	CSP-1	172
E_1-2	PDC-49	1
E_1-2	QnrB4	30
E_1-2	VIM-51	1
E_1-2	VIM-10	1
E_1-2	QnrB5	9
E_1-2	ADC-338	1
E_1-2	MCR-5.1	1601
E_1-2	qacEdelta1	1572
E_1-2	VIM-11	2
E_1-2	QnrB6	2
E_1-2	VIM-52	8
E_1-2	MCR-5.2	1610
E_1-2	QnrB7	12
E_1-2	VIM-12	7
E_1-2	MCR-5.3	1594
E_1-2	VIM-54	4
E_1-2	VIM-13	7
E_1-2	QnrB8	14
E_1-2	MCR-5.4	1586
E_1-2	VIM-14	6
E_1-2	QnrB9	8
E_1-2	VIM-55	19
E_1-2	dfrB10	124
E_1-2	vgaA	19521
E_1-2	CVI-1	14
E_1-2	dfrB11	122
E_1-2	AIM-1	154
E_1-2	vgaB	22063
E_1-2	VIM-16	2
E_1-2	VIM-57	5
E_1-2	AIM-2	143
