set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
pilot8	ERR1713331	k141_630281	k141_630281_2 # 1091 # 2329 # 1 # ID=24937_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.651	Mrx	3003839	Perfect	100.0	100.00	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)		yes	plasmid_like	0.009	0.985	0.006
pilot8	ERR1713331	k141_118641	k141_118641_19 # 20401 # 22521 # 1 # ID=25069_19;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.445	adeF	3000777	Strict	59.2	66.76	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	yes	plasmid_like	0.0154	0.9714	0.0132
pilot8	ERR1713331	k141_324847	k141_324847_2 # 554 # 1021 # -1 # ID=25077_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.521	tet(W/N/W)	3004442	Strict	97.42	24.26	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; minocycline; chlortetracycline	yes	plasmid_like	0.2226	0.5685	0.2089
pilot8	ERR1713331	k141_528557	k141_528557_1 # 1 # 816 # -1 # ID=25778_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.478	vanY gene in vanG cluster	3002959	Strict	38.46	97.49	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.4777	0.353	0.1693
pilot8	ERR1713331	k141_325885	k141_325885_1 # 1 # 1659 # 1 # ID=26446_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.407	tet(Q)	3000191	Strict	96.93	84.17	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	yes	chromosome_like	0.386	0.3836	0.2304
pilot8	ERR1713331	k141_120110	k141_120110_4 # 4698 # 6152 # -1 # ID=27262_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.386	msr(G)	3007042	Strict	76.3	99.79	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	msr-type ABC-F protein	erythromycin; azithromycin	yes	plasmid_like	0.0054	0.987	0.0077
pilot8	ERR1713331	k141_120110	k141_120110_5 # 6261 # 7451 # -1 # ID=27262_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.410	mefF	3007044	Strict	70.28	99.75	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump		yes	plasmid_like	0.0054	0.987	0.0077
pilot8	ERR1713331	k141_422445	k141_422445_2 # 356 # 1615 # 1 # ID=27739_2;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554	cmlA5	3002695	Perfect	100.0	100.00	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	chloramphenicol	yes	chromosome_like	0.4585	0.4458	0.0957
pilot8	ERR1713331	k141_422445	k141_422445_3 # 1734 # 2633 # 1 # ID=27739_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313	VEB-1	3002370	Perfect	100.0	100.00	monobactam; cephalosporin	antibiotic inactivation	VEB beta-lactamase		yes	chromosome_like	0.4585	0.4458	0.0957
pilot8	ERR1713331	k141_530440	k141_530440_1 # 3 # 803 # 1 # ID=28231_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.343	ErmF	3000498	Strict	99.62	100.00	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	yes	plasmid_like	0.424	0.5383	0.0377
pilot8	ERR1713331	k141_530440	k141_530440_2 # 1016 # 2182 # -1 # ID=28231_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374	tet(X)	3000205	Strict	99.74	100.00	glycylcycline; tetracycline antibiotic	antibiotic inactivation	tetracycline inactivation enzyme	tigecycline; tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	yes	plasmid_like	0.424	0.5383	0.0377
pilot8	ERR1713331	k141_632498	k141_632498_2 # 1126 # 2352 # -1 # ID=28232_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.302	EreD	3004608	Strict	98.53	100.00	macrolide antibiotic	antibiotic inactivation	macrolide esterase	erythromycin	yes	chromosome_like	0.5311	0.3682	0.1007
pilot8	ERR1713331	k141_530626	k141_530626_2 # 91 # 426 # 1 # ID=28456_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.655	qacG	3007015	Strict	44.76	103.74	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.763	0.1975	0.0394
pilot8	ERR1713331	k141_530768	k141_530768_2 # 372 # 1037 # -1 # ID=28661_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.482	qacG	3007015	Strict	40.0	206.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.0908	0.7187	0.1904
pilot8	ERR1713331	k141_122443	k141_122443_1 # 1 # 1032 # 1 # ID=30438_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.626	vanT gene in vanG cluster	3002972	Strict	49.11	48.31	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.5764	0.2331	0.1905
pilot8	ERR1713331	k141_634144	k141_634144_2 # 266 # 1069 # -1 # ID=30486_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.459	OXA-644	3005864	Strict	98.88	97.45	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	yes	plasmid_like	0.1165	0.8019	0.0817
pilot8	ERR1713331	k141_735724	k141_735724_5 # 4056 # 5051 # -1 # ID=31045_5;partial=00;start_type=ATG;rbs_motif=TATAA;rbs_spacer=3bp;gc_cont=0.359	CfxA6	3003097	Strict	99.09	100.00	cephamycin	antibiotic inactivation	CfxA beta-lactamase		yes	plasmid_like	0.2122	0.6344	0.1534
pilot8	ERR1713331	k141_329399	k141_329399_2 # 215 # 2185 # -1 # ID=31344_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402	tet(O)	3000190	Strict	52.34	102.66	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	yes	plasmid_like	0.0345	0.7943	0.1712
pilot8	ERR1713331	k141_330802	k141_330802_1 # 38 # 1033 # -1 # ID=33237_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.530	vanW gene in vanI cluster	3003724	Strict	38.56	88.74	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	virus_like	0.2299	0.3637	0.4064
pilot8	ERR1713331	k141_425026	k141_425026_1 # 2 # 1099 # 1 # ID=33271_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.302	vanT gene in vanG cluster	3002972	Strict	37.15	51.26	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.7208	0.1408	0.1384
pilot8	ERR1713331	k141_227657	k141_227657_15 # 15677 # 16747 # 1 # ID=33358_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.287	vanT gene in vanG cluster	3002972	Strict	33.79	50.00	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.8143	0.1199	0.0658
pilot8	ERR1713331	k141_22363	k141_22363_1 # 1 # 882 # 1 # ID=33626_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.319	tet(44)	3000556	Strict	98.63	45.78	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	yes	plasmid_like	0.2704	0.3977	0.3319
pilot8	ERR1713331	k141_636336	k141_636336_2 # 448 # 1359 # -1 # ID=33669_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.466	OXA-20	3001415	Strict	99.62	113.91	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	yes	plasmid_like	0.4101	0.5449	0.045
pilot8	ERR1713331	k141_228222	k141_228222_11 # 12140 # 12979 # -1 # ID=34098_11;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.335	vanW gene in vanG cluster	3002965	Strict	28.63	99.29	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.6472	0.2933	0.0595
pilot8	ERR1713331	k141_636771	k141_636771_1 # 3 # 1844 # -1 # ID=34311_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.637	adeF	3000777	Strict	72.59	57.98	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	yes	chromosome_like	0.7305	0.1625	0.107
pilot8	ERR1713331	k141_738438	k141_738438_36 # 31811 # 34993 # -1 # ID=35221_36;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663	adeF	3000777	Strict	60.0	100.09	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	yes	plasmid_like	0.0092	0.9834	0.0074
